epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,28.0055,0.71528,0.81704,1.16253,0.68591,0.65,0.85107,0.5325,1.60158,1.49635,1.34739,2.82082e-05,2.82082e-05,2.82082e-05
40,28.6204,0.76898,0.9815,1.15996,0.68591,0.65,0.85107,0.5325,1.60158,1.49635,1.34739,2.84911e-05,2.84911e-05,2.84911e-05
41,29.2762,0.7585,1.12423,1.11201,0.70772,0.65,0.85194,0.52566,1.6114,1.56079,1.35304,2.87504e-05,2.87504e-05,2.87504e-05
42,29.8969,0.9172,1.11023,1.19339,0.70772,0.65,0.85194,0.52566,1.6114,1.56079,1.35304,2.89861e-05,2.89861e-05,2.89861e-05
43,30.55,1.00982,0.96815,1.51305,0.78948,0.63605,0.84841,0.52784,1.57312,1.58662,1.34799,2.91983e-05,2.91983e-05,2.91983e-05
44,31.1878,0.69987,0.89604,1.09436,0.78948,0.63605,0.84841,0.52784,1.57312,1.58662,1.34799,2.93869e-05,2.93869e-05,2.93869e-05
45,31.8363,0.66427,1.42387,1.09638,0.79277,0.63561,0.71048,0.40479,1.57733,1.62623,1.35097,2.9552e-05,2.9552e-05,2.9552e-05
46,32.4793,0.8506,1.02054,1.24849,0.79277,0.63561,0.71048,0.40479,1.57733,1.62623,1.35097,2.96935e-05,2.96935e-05,2.96935e-05
47,33.1601,0.88737,0.70115,1.26802,0.82495,0.61757,0.70242,0.39281,1.56677,1.66945,1.35542,2.98114e-05,2.98114e-05,2.98114e-05
48,33.79,0.78505,1.01554,1.14525,0.82495,0.61757,0.70242,0.39281,1.56677,1.66945,1.35542,2.99058e-05,2.99058e-05,2.99058e-05
49,34.4691,1.01967,1.08345,1.37528,0.79661,0.65,0.70291,0.39095,1.55905,1.68415,1.35819,2.99766e-05,2.99766e-05,2.99766e-05
50,35.0935,0.65083,0.84462,1.09618,0.79661,0.65,0.70291,0.39095,1.55905,1.68415,1.35819,3.00238e-05,3.00238e-05,3.00238e-05
51,35.7828,0.73156,0.90329,1.22855,0.81322,0.64996,0.6847,0.38351,1.56082,1.73942,1.3598,3.00475e-05,3.00475e-05,3.00475e-05
52,36.4499,0.81846,1.65762,1.17923,0.81322,0.64996,0.6847,0.38351,1.56082,1.73942,1.3598,3.00476e-05,3.00476e-05,3.00476e-05
53,37.1054,0.59933,0.98723,1.05555,0.81322,0.64996,0.6847,0.38351,1.56082,1.73942,1.3598,3.00242e-05,3.00242e-05,3.00242e-05
54,37.829,0.73337,0.96728,1.10161,0.77355,0.65,0.68425,0.35309,1.591,1.83047,1.37881,2.99772e-05,2.99772e-05,2.99772e-05
55,38.4951,0.68819,1.1388,1.17271,0.77355,0.65,0.68425,0.35309,1.591,1.83047,1.37881,2.99066e-05,2.99066e-05,2.99066e-05
56,39.1405,0.68065,0.82424,1.22022,0.77355,0.65,0.68425,0.35309,1.591,1.83047,1.37881,2.98125e-05,2.98125e-05,2.98125e-05
57,39.8451,0.73084,0.69654,1.22025,0.78309,0.48333,0.69296,0.35984,1.59363,1.85071,1.37264,2.96948e-05,2.96948e-05,2.96948e-05
58,40.4925,0.78667,1.05282,1.20702,0.78309,0.48333,0.69296,0.35984,1.59363,1.85071,1.37264,2.95535e-05,2.95535e-05,2.95535e-05
59,41.1568,0.71423,0.71703,1.23273,0.78309,0.48333,0.69296,0.35984,1.59363,1.85071,1.37264,2.93887e-05,2.93887e-05,2.93887e-05
60,41.8381,0.77525,1.00567,1.31023,0.82915,0.48333,0.57032,0.26941,1.68015,1.92755,1.40734,2.92003e-05,2.92003e-05,2.92003e-05
61,42.4831,0.58465,0.6546,1.06205,0.82915,0.48333,0.57032,0.26941,1.68015,1.92755,1.40734,2.89884e-05,2.89884e-05,2.89884e-05
62,43.1234,0.74432,1.01057,1.28804,0.82915,0.48333,0.57032,0.26941,1.68015,1.92755,1.40734,2.87529e-05,2.87529e-05,2.87529e-05
63,43.8118,0.68713,0.82055,1.17034,0.84193,0.48203,0.5583,0.26025,1.74683,1.97586,1.43572,2.84938e-05,2.84938e-05,2.84938e-05
64,44.462,0.78243,0.74304,1.07303,0.84193,0.48203,0.5583,0.26025,1.74683,1.97586,1.43572,2.82112e-05,2.82112e-05,2.82112e-05
65,45.0685,0.61505,0.69248,1.04226,0.84193,0.48203,0.5583,0.26025,1.74683,1.97586,1.43572,2.7905e-05,2.7905e-05,2.7905e-05
66,45.7639,0.93705,1.94952,1.32936,0.83507,0.48402,0.55704,0.25882,1.726,2.01308,1.42822,2.75753e-05,2.75753e-05,2.75753e-05
67,46.3912,0.7792,0.86069,1.17674,0.83507,0.48402,0.55704,0.25882,1.726,2.01308,1.42822,2.7222e-05,2.7222e-05,2.7222e-05
68,46.9993,0.62702,0.76829,1.04956,0.83507,0.48402,0.55704,0.25882,1.726,2.01308,1.42822,2.68451e-05,2.68451e-05,2.68451e-05
69,47.6416,0.72497,0.67669,1.29385,0.8323,0.48424,0.55688,0.2551,1.75766,2.01968,1.43724,2.64447e-05,2.64447e-05,2.64447e-05
70,48.2777,0.9724,1.05471,1.39543,0.8323,0.48424,0.55688,0.2551,1.75766,2.01968,1.43724,2.60207e-05,2.60207e-05,2.60207e-05
